Title,Authors,Abstract,Published In,Date of Conference,Date Added to IEEE Xplore,Conference Location,Document URL
Jollity Chatbot- A contextual AI Assistant,"['Kanakamedala Deepika', 'Veeranki Tilekya', 'Jatroth Mamatha', 'T Subetha']","Chatbot is a software application that can stimulate a conversation via text, instead of direct contact with a live human through messaging applications, websites and mobile applications. Chatbot applications help to make interactions between people and services by enhancing the customer experience. Chatbot is widely used in the areas of food ordering, ecommerce and transportation, etc. Practically it is not possible to find a permanent companion to make us happy all the time. Hence, this paper has planned to design a jollity chatbot to talk with the human users and make sure that it entertains and give suggestion and motivation in tough times. The jollity chatbot is implemented in Rasa, an open -source conversational AI framework and it is easy to customize. The proposed method has added 12 intents with each more than 8 text examples constituting a total of 100 input samples in nlu.md and their response in domain.yml. The flow of interactions is given in stories.md. The jollity chatbot is deployed in Telegram using ngrok and the server URL details and the access token are given in the credentials.yml. The system is experimented with various evaluation measures like accuracy of the intents, accuracy of the stories and the confusion matrix to shows that the proposed jollity chatbot system is more robust and can identify the user intents appropriately.",2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT),20-22 August 2020,06 October 2020,"Tirunelveli, India",https://ieeexplore.ieee.org/document/9214076/
Application of Artificial Intelligence in Electronic Product Design,['Beibei Li'],"In recent years, computer AI technology has been used in various aspects and has been noticed by many research electronics products. Many of these researchers have experts linking and combine computer AI technology and electronic design. Therefore, it enables many researchers to further study the more advanced development path of computer AI technology in other aspects. It further studies the characteristics and significance of computer AI technology in electronic product design and proposes the difficulty of computer AI application to electronic product design. In addition, this paper also points out the relevant ways and strategies for the design of electronic products with the help of AI. This can also more enrich the application scope of computer AI technology, and computer AI technology has gradually become the foundation of electronic product design research.",2021 2nd International Conference on Artificial Intelligence and Education (ICAIE),18-20 June 2021,15 September 2021,"Dali, China",https://ieeexplore.ieee.org/document/9534616/
Applying Faster R-CNN in Extremely Low-Resolution Thermal Images for People Detection,"['Diego M. Jiménez-Bravo', 'Pierre Masala Mutombo', 'Bart Braem', 'Johann M. Marquez-Barja']","In today's cities, it is increasingly normal to see different systems based on Artificial Intelligence (AI) that help citizens and government institutions in their daily lives. This is possible thanks to the Internet of Things (IoT). In this paper we present a solution using low-resolution thermal sensors in combination of deep learning to detect people in the images generated by those sensors. To verify whether the deep learning techniques are appropriate for this type of images of such low resolution, we have implement a Faster Region-Convolutional Neural Network. The results obtained are hopeful and undoubtedly encourage to continue improving this research line. With a perception of 72.85% and given the complexity of the problem presented we consider the results obtained to be highly satisfactory and it encourages us to continue improving the work presented in this article.",2020 IEEE/ACM 24th International Symposium on Distributed Simulation and Real Time Applications (DS-RT),14-16 September 2020,06 October 2020,"Prague, Czech Republic",https://ieeexplore.ieee.org/document/9213609/
Smart Technologies for Visually Impaired: Assisting and conquering infirmity of blind people using AI Technologies,"['Fatma Al-Muqbali', 'Noura Al-Tourshi', 'Khuloud Al-Kiyumi', 'Faizal Hajmohideen']","Physical disability has affected many people's lives across the world. One of these disabilities that strongly affected some large category of people is visual lose. Blind people often face difficulties in moving around freely such as: in crossing the street, in reading, driving or socializing. They often rely on using certain aid devices to reach certain places or perform any other daily activities such as walking sticks. There are ongoing scientific researches in the area of rectifying blindness, but it has to go long way to achieve the solution. Also, there are research unleashes the ideas of assisting the blind people deficiency but lacks in technological aspects of implementation. This research project aims at helping blind people of all categories to achieve their day to day tasks easier through the use of a smart device. By using artificial intelligent and image processing, this smart device is able to detect faces, colors and deferent objects. The detection process is manifested by notifying the visually impaired person through either a sound alert or vibration. Additionally, this study presents a palpable survey that entails visually impaired people from the local community. Subsequently, the project uses both Open CV and Python for programming and implementation. The exertion of this project prototype investigates the algorithms which are used for detecting the objects. Also, it demonstrates how this smart device could detects certain physical object and how it could send a warning signal when faced by any obstacles. Overall, this research will be a positive addition in the world of health care sector by supporting blind people with the use of smart technology.",2020 12th Annual Undergraduate Research Conference on Applied Computing (URC),15-16 April 2020,25 May 2020,"Dubai, United Arab Emirates",https://ieeexplore.ieee.org/document/9099184/
Wearable Visually Assistive Device for Blind People to Appreciate Real-world Scene and Screen Image,"['Jin Ai', 'Menghan Hu', 'Guodong Li', 'Guangtao Zhai', 'Jian Zhang', 'Qingli Li', 'Wendell Q. Sun']","Due to the loss of vision, the appreciation of the realworld scene and the images displayed on the screen becomes almost impossible for blind people. In an effort to meet the needs of the blind community, we develop a wearable visually assistive device to help them perceive images. With the help of various multimedia information processing technologies, the proposed device can first acquire image information through a depth camera, then implement an image-to-text transformation using image caption technology, and finally the obtained text sequence is fed back to the user via voice. In this way, blind people are able to perceive the outside world, thus creating an unprecedented experience for them. The main technical specifications of the system are: distance perception range is 0.1m to 10m; RGB field of view is 69.4°×42.5°×77°; depth field of view is 91.2°×65.5°×100.6°; maximum weight is 3.05kg. Two demo videos of the proposed navigation system which are respectively recorded for real-world scene and screen image are available at: https://doi.org/10.6084/m9.figshare.12520499.v1.",2020 IEEE International Conference on Visual Communications and Image Processing (VCIP),01-04 December 2020,29 December 2020,"Macau, China",https://ieeexplore.ieee.org/document/9301814/
Comparison of efficient AI algorithms for assisting and conquering infirmity of blind people: improved approach for visually impaired,"['K. R. S. Al-Kiyumi', 'N. A. S. Al-Tourshi', 'F. M. S. Al-Muqbali', 'F. Hajamohideen']","Disability of human beings is greatly affecting the potential normal life of the affected people especially the blind. Modern technologies help visually impaired to practice their day to day activities indisputably. They practically need an aide to move across the nook and corner and in overpass the street, in sensing or mingling. There are ongoing scientific researches in the area of rectifying blindness, but it has to go long way to achieve the solution. Also, there are research unleashes the ideas of assisting the blind people deficiency but lacks in technological aspects of implementation. One of our previous research provides the AI technologies to recognise and lead the daily life of the visually impaired in a much better way using face recognition LBPH and Haar algorithms. In the evolution view of face recognition and AI technologies, this research looks to enhance the way the other researches done and helps visually impaired to walk and carry out their daily activities easiest way possible and safety by using Internet of Things (IOT) and Artificial Intelligence (AI). This study articulates the different sets of algorithms and compare the features that help in amending the existing research with solidarity to help the visually impaired community. The aim of this comparison of algorithms is to provide the smart blind device to detect color, object, faces. Also, this research discusses the human perception of color images with different models and several color models such as RGB, YUV, CMY, CMYK and HIS are discussed and compared. However, for face detection, this research compares the pros and the cons of Eigenfaces, Local Binary Patterns Histograms (LBPH), Fisherfaces, Scale Invariant Feature Transform (SIFT), Speed Up Robust Features (SURF) algorithms. The programming tools used in this research are OpenCV and Python. The IoT devices used in this experiment are Raspberry Pi Wide Angle Camera Module 2, Arduino Uno and GSM, GPS modules. In conclusion, this res... (Show More)",3rd Smart Cities Symposium (SCS 2020),21-23 September 2020,22 September 2021,Online Conference,https://ieeexplore.ieee.org/document/9545700/
Explained Artificial Intelligence Helps to Integrate Artificial and Human Intelligence Into Medical Diagnostic Systems: Analytical Review of Publications,"['Mais Farkhadov', 'Aleksander Eliseev', 'Nina Petukhova']","Artificial intelligence-based medical systems can by now diagnose various disorders highly accurately. However, we should stress that despite encouraging and ever improving results, people still distrust such systems. We review relevant publications over the past five years, to identify the main causes of such mistrust and ways to overcome it. Our study showes that the main reasons to distrust these systems are opaque models, blackbox algorithms, and potentially unrepresentful training samples. We demonstrate that explainable artificial intelligence, aimed to create more user-friendly and understandable systems, has become a noticeable new topic in theoretical research and practical development. Another notable trend is to develop approaches to build hybrid systems, where artificial and human intelligence interact according to the teamwork model.",2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT),07-09 October 2020,09 March 2021,"Tashkent, Uzbekistan",https://ieeexplore.ieee.org/document/9368576/
Analysis on the Artificial Intelligence in the Best Relationship Model,['Yun Ru'],"The majority of people find it is hard to date people and dating life is not going well. There is a question that how to build a serious relationship with the right person. In this paper, we focus on the investigation of the possible relationships in various subjects and possible factors that influence a serious relationship. The analyzing result of the input data helps in pairing a more accurate person through digital information, which reduces the risk of meeting the one that will hurt people physically or mentally. We have a certain fault tolerance on the AI model, but the chance of finding the best one is boosted as we using the large number of training data set to reduce the error percentage. Meanwhile, this paper discusses the possible AI applications and the model architecture that might be applied in the love story.",2021 International Symposium on Artificial Intelligence and its Application on Media (ISAIAM),21-23 May 2021,23 August 2021,"Xi'an, China",https://ieeexplore.ieee.org/document/9516507/
Human Robot Interaction System for Behavioral Improvement of Autistic Children,"['Md. Parvez Hossain', 'Md. Atikuzzaman', 'Md. Mushfikur Rahim', 'Md. Tuzammel Hossain', 'Monira Sultana Mousome', 'Muhammad Aminur Rahaman']","An estimated one-third of people with autism are nonverbal. Many Research has been done in this field and confirms that people with autism experience a lack of communication skills, anxiety, dealing with change, bullying, etc. To assist autistic children and to improve their behavior, we have developed an artificial intelligence robot that can react to their movement via an ultrasonic sensor and can talk to them via voice commands. Using this robot, children with ASD can develop both their behavior and communication skill. The robot works in two methods. The first one is the ultrasonic sensor, implemented with an AI algorithm that can detect a person within seventy centimeters. This ultrasonic sensor sends the data to the controller and the controller receives the signal and sends an activation signal to the robot. Finally, the robot moves his head to the direction of the person is located or to the moving direction. The second method is voice commands. The robot can perform each physical action it is given via voice commands like a salute, handshaking, body movement, and answering questions achieving 97.75% average accuracy with the response time of 328.75ms. This accuracy is achieved by testing the system for 10 iterations. As autistic children hesitate to communicate freely with normal people, this human-robot interaction will improve their behavior and communication skills as well. This humanoid robot will improve the quality of living of the autistic or disabled people. This humanoid robot can be used in any public sector like school, colleges, an autism center, and industry.",2020 2nd International Conference on Advanced Information and Communication Technology (ICAICT),28-29 November 2020,01 February 2021,"Dhaka, Bangladesh",https://ieeexplore.ieee.org/document/9333508/
Real-Time Sign Language Converter for Mute and Deaf People,"['Akshit J Dhruv', 'Santosh Kumar Bharti']","Deaf people may get irritated due to the problem of not being able to share their views with common people, which may affect their day-to-day life. This is the main reason to develop such system that can help these people and they can also put their thoughts forward similar to other people who don’t have such problem. The advancement in the Artificial intelligence provides the door for developing the system that overcome this difficulty. So this project aims on developing a system which will be able to convert the speech to text for the deaf person, and also sometimes the person might not be able to understand just by text, so the speech will also get converted to the universal sign language. Similarly, for the mute people the sign language which they are using will get converted to speech. We will take help of various ML and AI concepts along with NLP to develop the accurate model. Convolutional neural networks (CNN) will be used for prediction as it is efficient in predicting image input, also as lip movements are fast and continuous so it is hard to capture so along with CNN, the use of attention-based long short-term memory (LSTM) will prove to be efficient. Data Augmentation methods will be used for getting the better results. TensorFlow and Keras are the python libraries that will be used to convert the speech to text. Currently there are many software available but all requires the network connectivity for it to work, while this device will work without the requirement of internet.Using the proposed model we got the accuracy of 100% in predicting sign language and 96% accuracy in sentence level understanding.",2021 International Conference on Artificial Intelligence and Machine Vision (AIMV),24-26 September 2021,10 January 2022,"Gandhinagar, India",https://ieeexplore.ieee.org/document/9670928/
Explainable AI for COVID-19 CT Classifiers: An Initial Comparison Study,"['Qinghao Ye', 'Jun Xia', 'Guang Yang']","Artificial Intelligence (AI) has made leapfrogs in development across all the industrial sectors especially when deep learning has been introduced. Deep learning helps to learn the behaviour of an entity through methods of recognising and interpreting patterns. Despite its limitless potential, the mystery is how deep learning algorithms make a decision in the first place. Explainable AI (XAI) is the key to unlocking AI and the black-box for deep learning. XAI is an AI model that is programmed to explain its goals, logic, and decision making so that the end users can understand. The end users can be domain experts, regulatory agencies, managers and executive board members, data scientists, users that use AI, with or without awareness, or someone who is affected by the decisions of an AI model. Chest CT has emerged as a valuable tool for the clinical diagnostic and treatment management of the lung diseases associated with COVID-19. AI can support rapid evaluation of CT scans to differentiate COVID-19 findings from other lung diseases. However, how these AI tools or deep learning algorithms reach such a decision and which are the most influential features derived from these neural networks with typically deep layers are not clear. The aim of this study is to propose and develop XAI strategies for COVID-19 classification models with an investigation of comparison. The results demonstrate promising quantification and qualitative visualisations that can further enhance the clinician's understanding and decision making with more granular information from the results given by the learned XAI models.",2021 IEEE 34th International Symposium on Computer-Based Medical Systems (CBMS),07-09 June 2021,12 July 2021,"Aveiro, Portugal",https://ieeexplore.ieee.org/document/9474739/
